image_url,caption1_text,caption2_text,caption3_text
http://www.newyorker.com/images/2005/04/25/p323/050425_contest_p323.jpg,"More important however is what I learned about myself.","First you must gain their trust.","Well it was just easier than making a thousand tiny lab coats."
http://www.newyorker.com/images/2005/05/02/p323/050502_contest_p323.jpg,"This is my stop. Phil you'll be C.E.O. till Sixty-third Street.","Yes I do miss the corporate jet. I miss the corporate jet very much.","Frank called to say he'll be late—he's stuck at the office."
http://www.newyorker.com/images/2005/05/09/p323/050509_contest_p323.jpg,"Neither the time nor the place Doug!","Would it kill you to use a few of your roaming minutes?","This better be good. That floor was waxed last night!"
http://www.newyorker.com/images/2005/05/16/p323/050516_contest_p323.jpg,"Remember that time you made me laugh and people came out of my nose?","How about Little Italy for dessert?","Pass me a beer truck."
http://www.newyorker.com/images/2005/05/23/p323/050523_contest_p323.jpg,"Tell my one-thirty things got way gnarly.","Gotta reschedule. Water-main break on Seventh!","Hold my calls cancel my appointments and find my Speedo!"
http://www.newyorker.com/images/2005/05/30/p323/050530_contest_p323.jpg,"It's me '9' from yoga class.","Last thing I remember the guy said ‘Pick a number.’ ","I represent several Arabic numerals who are being held without charges."
http://www.newyorker.com/images/2005/06/06/p323/050606_contest_p323.jpg,"Relax honey—everybody gets buyer's remorse.","You always get like this when there's a full earth.","It's just the wind."
http://www.newyorker.com/images/2005/06/13/p323/050613_contest_p323.jpg,"He's the cutest little thing and when you get tired of him you just flush him down the toilet.","You wouldn't believe it! I met a man at the pet store.","We decided on separate vacations this year."
http://www.newyorker.com/images/2005/06/27/p323/050627_contest_p323.jpg,"Try telling that to the Kansas Board of Education.","What's more important youthful hair or F.D.A. approval?","Simple. I just wear my pants backward."
http://www.newyorker.com/images/2005/07/04/p323/050704_contest_p323.jpg,"Well if you must know he makes me laugh.","I'm beginning to think I liked you better when you worked at Morgan Stanley.","I told you not to bring the clown!"
http://www.newyorker.com/images/2005/07/11/p323/050711_contest_p323.jpg,"I guess my wife couldn't make it.","Frankly your brochure is a bit misleading.","Gee you guys really are having trouble meeting your recruitment quota."
http://www.newyorker.com/images/2005/07/25/p323/050725_contest_p323.jpg,"And tomorrow I'll teach you how to build a nest.","Can I have your apartment?","There's a message on my leg from Karl Rove."
http://www.newyorker.com/images/2005/08/01/p323/050801_contest_p323.jpg,"This is why I love yard sales.","O.K. Now you be the naughty mosquito and I'll be the tormented sporting-goods salesman.","I think we need a new sex therapist."
http://www.newyorker.com/images/2005/08/08/p323/050808_contest_p323.jpg,"Oh sure they find one secretary in a pool of her own blood and everybody wants to blame the werewolf.","Four hundred grand in damages? It was made out of straw for Chrissake!","Yes of course I've tried waxing."
http://www.newyorker.com/images/2005/08/22/p323/050822_contest_p323.jpg,"Well it's a lovely gesture but I still think we should start seeing other people.","Don't move. I think I have something in my teeth.","It may look like the Virgin Mary but I don't see how you can sell it on eBay."
http://www.newyorker.com/images/2005/08/29/p323/050829_contest_p323.jpg,"O.K. they're yours but I still don't know where you got that fourth ace.","Keep your eye out for a blond kid with a laser pointer.","I think it's important for them to hear both sides of the debate."
http://www.newyorker.com/images/2005/09/05/p323/050905_contest_p323.jpg,"Yes I tried tapping on the glass.","Well the good news is the giant worms are gone.","Maybe you'll believe me once I've been regurgitated."
