image_url,caption1_text,caption2_text,caption3_text
http://www.newyorker.com/images/2006/05/22/p323/060522_contest_p323.jpg,"Can you please identify which hand was mistakenly amputated?","When did you first encounter my client's balloon?","Your Honor may I have permission not to approach the witness?"
http://www.newyorker.com/images/2006/05/29/p323/060529_contest_p323.jpg,"Mind the whale dear.","They're very intelligent dear. Try reasoning with him.","Sure they're cute when they're little."
http://www.newyorker.com/images/2006/06/05/p323/060605_contest_p323.jpg,"Two thousand eyes but it still takes you all day to read the morning paper.","Would your mother find chilled larvae in a light honey glaze too waspy?","Well it's another thrilling night at the Samsas’."
http://www.newyorker.com/images/2006/06/12/p323/060612_contest_p323.jpg,"And best of all it's completely waterproof!","Maybe this thing isn't a compass.","Thank God for TiVo."
http://www.newyorker.com/images/2006/06/19/p323/060619_contest_p323.jpg,"Wait. Would we still be doing this if the sky weren't falling?","Quack means quack!","So this is why you crossed the road."
http://www.newyorker.com/images/2006/06/26/p323/060626_contest_p323.jpg,"Damn it I'm a brain surgeon not a rocket scientist!","It's the worst case of projectile dysfunction I've ever seen.","We thought it would look better with big breasts."
http://www.newyorker.com/images/2006/07/03/p323/060703_contest_p323.jpg,"There may be some lingering resentment.","It's painful but I couldn't stand another chorus of ‘Take Me to the River.’ ","Watch out for the moose head in the parlor."
http://www.newyorker.com/images/2006/07/10/p323/060710_contest_p323.jpg,"Sooner or later you're going to have to learn your way to the bathroom yourself.","We never get out anymore.","Try counting rats."
http://www.newyorker.com/images/2006/07/24/p323/060724_contest_p323.jpg,"The hours here are obscene.","Let me call you back in an umlaut.","Oh sorry. I forgot about the time difference."
http://www.newyorker.com/images/2006/07/31/p323/060731_contest_p323.jpg,"Aye and he replaced walking the plank with time out.","I'd mutiny but I'm having such a nice day.","No we don't get much booty but we meet a lot of nice people."
http://www.newyorker.com/images/2006/08/07/p323/060807_contest_p323.jpg,"Take three thousand Tylenol and call me in the morning.","Really God you worry too much.","I don't know why you're so jolly—your cholesterol is through the roof."
http://www.newyorker.com/images/2006/08/21/p323/060821_contest_p323.jpg,"O.K. let's wrap up and call it a day. I feel like we're losing our focus.","This new M.B.A. crop is so hard to break.","Just five more seconds and you'll break the record set by Tex and Dolly Rosenberg in Accounting." 
http://www.newyorker.com/images/2006/08/28/p323/060828_contest_p323.jpg,"We have company Henry. Use the good china.","He has his life and I have mine.","Can you tell it's a knockoff?"
